year,avg_temp,global_moving_avg_temp
1750,8.72,8.7200000000000000
1751,7.98,8.3500000000000000
1752,5.78,7.4933333333333333
1753,8.39,7.7175000000000000
1754,8.47,7.8680000000000000
1755,8.36,7.9500000000000000
1756,8.85,8.0785714285714286
1757,9.02,8.1962500000000000
1758,6.74,8.0344444444444444
1759,7.99,8.0300000000000000
1760,7.19,7.9536363636363636
1761,8.77,8.0216666666666667
1762,8.61,8.0669230769230769
1763,7.50,8.0264285714285714
1764,8.40,8.0513333333333333
1765,8.25,8.0637500000000000
1766,8.41,8.0841176470588235
1767,8.22,8.0916666666666667
1768,6.78,8.0226315789473684
1769,7.69,8.0060000000000000
1770,7.69,7.9909523809523810
1771,7.85,7.9845454545454545
1772,8.19,7.9934782608695652
1773,8.22,8.0029166666666667
1774,8.77,8.0336000000000000
1775,9.18,8.0776923076923077
1776,8.30,8.0859259259259259
1777,8.26,8.0921428571428571
1778,8.54,8.1075862068965517
1779,8.98,8.1366666666666667
1780,9.43,8.1783870967741935
1781,8.10,8.1759375000000000
1782,7.90,8.1675757575757576
1783,7.68,8.1532352941176471
1784,7.86,8.1448571428571429
1785,7.36,8.1230555555555556
1786,8.26,8.1267567567567568
1787,8.03,8.1242105263157895
1788,8.45,8.1325641025641026
1789,8.33,8.1375000000000000
1790,7.98,8.1336585365853659
1791,8.23,8.1359523809523810
1792,8.09,8.1348837209302326
1793,8.23,8.1370454545454545
1794,8.53,8.1457777777777778
1795,8.35,8.1502173913043478
1796,8.27,8.1527659574468085
1797,8.51,8.1602083333333333
1798,8.67,8.1706122448979592
1799,8.51,8.1774000000000000
1800,8.48,8.1833333333333333
1801,8.59,8.1911538461538462
1802,8.58,8.1984905660377358
1803,8.50,8.2040740740740741
1804,8.84,8.2156363636363636
1805,8.56,8.2217857142857143
1806,8.43,8.2254385964912281
1807,8.28,8.2263793103448276
1808,7.63,8.2162711864406780
1809,7.08,8.1973333333333333
1810,6.92,8.1763934426229508
1811,6.86,8.1551612903225806
1812,7.05,8.1376190476190476
1813,7.74,8.1314062500000000
1814,7.59,8.1230769230769231
1815,7.24,8.1096969696969697
1816,6.94,8.0922388059701493
1817,6.98,8.0758823529411765
1818,7.83,8.0723188405797101
1819,7.37,8.0622857142857143
1820,7.62,8.0560563380281690
1821,8.09,8.0565277777777778
1822,8.19,8.0583561643835616
1823,7.72,8.0537837837837838
1824,8.55,8.0604000000000000
1825,8.39,8.0647368421052632
1826,8.36,8.0685714285714286
1827,8.81,8.0780769230769231
1828,8.17,8.0792405063291139
1829,7.94,8.0775000000000000
1830,8.52,8.0829629629629630
1831,7.64,8.0775609756097561
1832,7.45,8.0700000000000000
1833,8.01,8.0692857142857143
1834,8.15,8.0702352941176471
1835,7.39,8.0623255813953488
1836,7.70,8.0581609195402299
1837,7.38,8.0504545454545455
1838,7.51,8.0443820224719101
1839,7.63,8.0397777777777778
1840,7.80,8.0371428571428571
1841,7.69,8.0333695652173913
1842,8.02,8.0332258064516129
1843,8.17,8.0346808510638298
1844,7.65,8.0306315789473684
1845,7.85,8.0287500000000000
1846,8.55,8.0341237113402062
1847,8.09,8.0346938775510204
1848,7.98,8.0341414141414141
1849,7.98,8.0336000000000000
1850,7.90,8.0322772277227723
1851,8.18,8.0337254901960784
1852,8.10,8.0343689320388350
1853,8.04,8.0344230769230769
1854,8.21,8.0360952380952381
1855,8.11,8.0367924528301887
1856,8.00,8.0364485981308411
1857,7.76,8.0338888888888889
1858,8.10,8.0344954128440367
1859,8.25,8.0364545454545455
1860,7.96,8.0357657657657658
1861,7.85,8.0341071428571429
1862,7.56,8.0299115044247788
1863,8.11,8.0306140350877193
1864,7.98,8.0301739130434783
1865,8.18,8.0314655172413793
1866,8.29,8.0336752136752137
1867,8.44,8.0371186440677966
1868,8.25,8.0389075630252101
1869,8.43,8.0421666666666667
1870,8.20,8.0434710743801653
1871,8.12,8.0440983606557377
1872,8.19,8.0452845528455285
1873,8.35,8.0477419354838710
1874,8.43,8.0508000000000000
1875,7.86,8.0492857142857143
1876,8.08,8.0495275590551181
1877,8.54,8.0533593750000000
1878,8.83,8.0593798449612403
1879,8.17,8.0602307692307692
1880,8.12,8.0606870229007634
1881,8.27,8.0622727272727273
1882,8.13,8.0627819548872180
1883,7.98,8.0621641791044776
1884,7.77,8.0600000000000000
1885,7.92,8.0589705882352941
1886,7.95,8.0581751824817518
1887,7.91,8.0571014492753623
1888,8.09,8.0573381294964029
1889,8.32,8.0592142857142857
1890,7.97,8.0585815602836879
1891,8.02,8.0583098591549296
1892,8.07,8.0583916083916084
1893,8.06,8.0584027777777778
1894,8.16,8.0591034482758621
1895,8.15,8.0597260273972603
1896,8.21,8.0607482993197279
1897,8.29,8.0622972972972973
1898,8.18,8.0630872483221477
1899,8.40,8.0653333333333333
1900,8.50,8.0682119205298013
1901,8.54,8.0713157894736842
1902,8.30,8.0728104575163399
1903,8.22,8.0737662337662338
1904,8.09,8.0738709677419355
1905,8.23,8.0748717948717949
1906,8.38,8.0768152866242038
1907,7.95,8.0760126582278481
1908,8.19,8.0767295597484277
1909,8.18,8.0773750000000000
1910,8.22,8.0782608695652174
1911,8.18,8.0788888888888889
1912,8.17,8.0794478527607362
1913,8.30,8.0807926829268293
1914,8.59,8.0838787878787879
1915,8.59,8.0869277108433735
1916,8.23,8.0877844311377246
1917,8.02,8.0873809523809524
1918,8.13,8.0876331360946746
1919,8.38,8.0893529411764706
1920,8.36,8.0909356725146199
1921,8.57,8.0937209302325581
1922,8.41,8.0955491329479769
1923,8.42,8.0974137931034483
1924,8.51,8.0997714285714286
1925,8.53,8.1022159090909091
1926,8.73,8.1057627118644068
1927,8.52,8.1080898876404494
1928,8.63,8.1110055865921788
1929,8.24,8.1117222222222222
1930,8.63,8.1145856353591160
1931,8.72,8.1179120879120879
1932,8.71,8.1211475409836066
1933,8.34,8.1223369565217391
1934,8.63,8.1250810810810811
1935,8.52,8.1272043010752688
1936,8.55,8.1294652406417112
1937,8.70,8.1325000000000000
1938,8.86,8.1363492063492063
1939,8.76,8.1396315789473684
1940,8.76,8.1428795811518325
1941,8.77,8.1461458333333333
1942,8.73,8.1491709844559585
1943,8.76,8.1523195876288660
1944,8.85,8.1558974358974359
1945,8.58,8.1580612244897959
1946,8.68,8.1607106598984772
1947,8.80,8.1639393939393939
1948,8.75,8.1668844221105528
1949,8.59,8.1690000000000000
1950,8.37,8.1700000000000000
1951,8.63,8.1722772277227723
1952,8.64,8.1745812807881773
1953,8.87,8.1779901960784314
1954,8.56,8.1798536585365854
1955,8.63,8.1820388349514563
1956,8.28,8.1825120772946860
1957,8.73,8.1851442307692308
1958,8.77,8.1879425837320574
1959,8.73,8.1905238095238095
1960,8.58,8.1923696682464455
1961,8.80,8.1952358490566038
1962,8.75,8.1978403755868545
1963,8.86,8.2009345794392523
1964,8.41,8.2019069767441860
1965,8.53,8.2034259259259259
1966,8.60,8.2052534562211982
1967,8.70,8.2075229357798165
1968,8.52,8.2089497716894977
1969,8.60,8.2107272727272727
1970,8.70,8.2129411764705882
1971,8.60,8.2146846846846847
1972,8.50,8.2159641255605381
1973,8.95,8.2192410714285714
1974,8.47,8.2203555555555556
1975,8.74,8.2226548672566372
1976,8.35,8.2232158590308370
1977,8.85,8.2259649122807018
1978,8.69,8.2279912663755459
1979,8.73,8.2301739130434783
1980,8.98,8.2334199134199134
1981,9.17,8.2374568965517241
1982,8.64,8.2391845493562232
1983,9.03,8.2425641025641026
1984,8.69,8.2444680851063830
1985,8.66,8.2462288135593220
1986,8.83,8.2486919831223629
1987,8.99,8.2518067226890756
1988,9.20,8.2557740585774059
1989,8.92,8.2585416666666667
1990,9.23,8.2625726141078838
1991,9.18,8.2663636363636364
1992,8.84,8.2687242798353909
1993,8.87,8.2711885245901639
1994,9.04,8.2743265306122449
1995,9.35,8.2786991869918699
1996,9.04,8.2817813765182186
1997,9.20,8.2854838709677419
1998,9.52,8.2904417670682731
1999,9.29,8.2944400000000000
2000,9.20,8.2980478087649402
2001,9.41,8.3024603174603175
2002,9.57,8.3074703557312253
2003,9.53,8.3122834645669291
2004,9.32,8.3162352941176471
2005,9.70,8.3216406250000000
2006,9.53,8.3263424124513619
2007,9.73,8.3317829457364341
2008,9.43,8.3360231660231660
2009,9.51,8.3405384615384615
2010,9.70,8.3457471264367816
2011,9.52,8.3502290076335878
2012,9.51,8.3546387832699620
2013,9.61,8.3593939393939394
2014,9.57,8.3639622641509434
2015,9.83,8.3694736842105263
