year,city,country,avg_temp,lv_moving_avg_temp
1835,Las Vegas,United States,14.93,14.9300000000000000
1836,Las Vegas,United States,16.35,15.6400000000000000
1837,Las Vegas,United States,16.40,15.8933333333333333
1838,Las Vegas,United States,,15.8933333333333333
1839,Las Vegas,United States,28.01,18.9225000000000000
1840,Las Vegas,United States,,18.9225000000000000
1841,Las Vegas,United States,,18.9225000000000000
1842,Las Vegas,United States,,18.9225000000000000
1843,Las Vegas,United States,19.48,19.0340000000000000
1844,Las Vegas,United States,16.47,18.6066666666666667
1845,Las Vegas,United States,16.83,18.3528571428571429
1846,Las Vegas,United States,,18.3528571428571429
1847,Las Vegas,United States,19.99,18.5575000000000000
1848,Las Vegas,United States,27.94,19.6000000000000000
1849,Las Vegas,United States,17.17,19.3570000000000000
1850,Las Vegas,United States,16.85,19.1290909090909091
1851,Las Vegas,United States,17.15,18.9641666666666667
1852,Las Vegas,United States,16.91,18.8061538461538462
1853,Las Vegas,United States,17.79,18.7335714285714286
1854,Las Vegas,United States,17.36,18.6420000000000000
1855,Las Vegas,United States,17.58,18.5756250000000000
1856,Las Vegas,United States,17.18,18.4935294117647059
1857,Las Vegas,United States,17.79,18.4544444444444444
1858,Las Vegas,United States,17.10,18.3831578947368421
1859,Las Vegas,United States,16.64,18.2960000000000000
1860,Las Vegas,United States,17.06,18.2371428571428571
1861,Las Vegas,United States,18.11,18.2313636363636364
1862,Las Vegas,United States,17.54,18.2013043478260870
1863,Las Vegas,United States,17.54,18.1737500000000000
1864,Las Vegas,United States,18.08,18.1700000000000000
1865,Las Vegas,United States,17.45,18.1423076923076923
1866,Las Vegas,United States,17.95,18.1351851851851852
1867,Las Vegas,United States,18.20,18.1375000000000000
1868,Las Vegas,United States,17.64,18.1203448275862069
1869,Las Vegas,United States,17.63,18.1040000000000000
1870,Las Vegas,United States,17.45,18.0829032258064516
1871,Las Vegas,United States,17.75,18.0725000000000000
1872,Las Vegas,United States,17.26,18.0478787878787879
1873,Las Vegas,United States,17.45,18.0302941176470588
1874,Las Vegas,United States,17.09,18.0034285714285714
1875,Las Vegas,United States,17.89,18.0002777777777778
1876,Las Vegas,United States,17.29,17.9810810810810811
1877,Las Vegas,United States,17.52,17.9689473684210526
1878,Las Vegas,United States,17.17,17.9484615384615385
1879,Las Vegas,United States,17.59,17.9395000000000000
1880,Las Vegas,United States,16.11,17.8948780487804878
1881,Las Vegas,United States,17.36,17.8821428571428571
1882,Las Vegas,United States,16.48,17.8495348837209302
1883,Las Vegas,United States,16.97,17.8295454545454545
1884,Las Vegas,United States,16.57,17.8015555555555556
1885,Las Vegas,United States,17.83,17.8021739130434783
1886,Las Vegas,United States,17.46,17.7948936170212766
1887,Las Vegas,United States,17.54,17.7895833333333333
1888,Las Vegas,United States,17.61,17.7859183673469388
1889,Las Vegas,United States,17.80,17.7862000000000000
1890,Las Vegas,United States,17.40,17.7786274509803922
1891,Las Vegas,United States,16.91,17.7619230769230769
1892,Las Vegas,United States,17.30,17.7532075471698113
1893,Las Vegas,United States,16.97,17.7387037037037037
1894,Las Vegas,United States,16.72,17.7201818181818182
1895,Las Vegas,United States,16.80,17.7037500000000000
1896,Las Vegas,United States,17.37,17.6978947368421053
1897,Las Vegas,United States,16.90,17.6841379310344828
1898,Las Vegas,United States,16.97,17.6720338983050847
1899,Las Vegas,United States,17.15,17.6633333333333333
1900,Las Vegas,United States,17.84,17.6662295081967213
1901,Las Vegas,United States,17.62,17.6654838709677419
1902,Las Vegas,United States,17.04,17.6555555555555556
1903,Las Vegas,United States,17.13,17.6473437500000000
1904,Las Vegas,United States,17.71,17.6483076923076923
1905,Las Vegas,United States,17.01,17.6386363636363636
1906,Las Vegas,United States,17.35,17.6343283582089552
1907,Las Vegas,United States,17.50,17.6323529411764706
1908,Las Vegas,United States,16.83,17.6207246376811594
1909,Las Vegas,United States,16.66,17.6070000000000000
1910,Las Vegas,United States,18.17,17.6149295774647887
1911,Las Vegas,United States,16.64,17.6013888888888889
1912,Las Vegas,United States,15.99,17.5793150684931507
1913,Las Vegas,United States,16.43,17.5637837837837838
1914,Las Vegas,United States,17.53,17.5633333333333333
1915,Las Vegas,United States,16.79,17.5531578947368421
1916,Las Vegas,United States,16.40,17.5381818181818182
1917,Las Vegas,United States,16.71,17.5275641025641026
1918,Las Vegas,United States,17.02,17.5211392405063291
1919,Las Vegas,United States,16.92,17.5136250000000000
1920,Las Vegas,United States,16.62,17.5025925925925926
1921,Las Vegas,United States,17.85,17.5068292682926829
1922,Las Vegas,United States,16.96,17.5002409638554217
1923,Las Vegas,United States,16.84,17.4923809523809524
1924,Las Vegas,United States,17.13,17.4881176470588235
1925,Las Vegas,United States,17.26,17.4854651162790698
1926,Las Vegas,United States,17.99,17.4912643678160920
