year,city,country,avg_temp,sf_moving_avg_temp
1849,San Francisco,United States,14.12,14.1200000000000000
1850,San Francisco,United States,13.80,13.9600000000000000
1851,San Francisco,United States,14.39,14.1033333333333333
1852,San Francisco,United States,13.81,14.0300000000000000
1853,San Francisco,United States,14.40,14.1040000000000000
1854,San Francisco,United States,13.98,14.0833333333333333
1855,San Francisco,United States,14.20,14.1000000000000000
1856,San Francisco,United States,14.10,14.1000000000000000
1857,San Francisco,United States,14.78,14.1755555555555556
1858,San Francisco,United States,14.19,14.1770000000000000
1859,San Francisco,United States,13.71,14.1345454545454545
1860,San Francisco,United States,13.81,14.1075000000000000
1861,San Francisco,United States,14.88,14.1669230769230769
1862,San Francisco,United States,14.43,14.1857142857142857
1863,San Francisco,United States,14.43,14.2020000000000000
1864,San Francisco,United States,15.18,14.2631250000000000
1865,San Francisco,United States,14.32,14.2664705882352941
1866,San Francisco,United States,14.67,14.2888888888888889
1867,San Francisco,United States,14.46,14.2978947368421053
1868,San Francisco,United States,14.25,14.2955000000000000
1869,San Francisco,United States,14.57,14.3085714285714286
1870,San Francisco,United States,14.19,14.3031818181818182
1871,San Francisco,United States,14.34,14.3047826086956522
1872,San Francisco,United States,14.63,14.3183333333333333
1873,San Francisco,United States,14.46,14.3240000000000000
1874,San Francisco,United States,14.09,14.3150000000000000
1875,San Francisco,United States,14.76,14.3314814814814815
1876,San Francisco,United States,14.44,14.3353571428571429
1877,San Francisco,United States,15.03,14.3593103448275862
1878,San Francisco,United States,14.37,14.3596666666666667
1879,San Francisco,United States,14.20,14.3545161290322581
1880,San Francisco,United States,13.22,14.3190625000000000
1881,San Francisco,United States,14.39,14.3212121212121212
1882,San Francisco,United States,13.58,14.2994117647058824
1883,San Francisco,United States,13.93,14.2888571428571429
1884,San Francisco,United States,14.05,14.2822222222222222
1885,San Francisco,United States,15.05,14.3029729729729730
1886,San Francisco,United States,14.58,14.3102631578947368
1887,San Francisco,United States,14.38,14.3120512820512821
1888,San Francisco,United States,14.70,14.3217500000000000
1889,San Francisco,United States,14.81,14.3336585365853659
1890,San Francisco,United States,14.05,14.3269047619047619
1891,San Francisco,United States,14.46,14.3300000000000000
1892,San Francisco,United States,14.05,14.3236363636363636
1893,San Francisco,United States,13.40,14.3031111111111111
1894,San Francisco,United States,13.80,14.2921739130434783
1895,San Francisco,United States,13.95,14.2848936170212766
1896,San Francisco,United States,14.22,14.2835416666666667
1897,San Francisco,United States,13.81,14.2738775510204082
1898,San Francisco,United States,13.77,14.2638000000000000
1899,San Francisco,United States,14.04,14.2594117647058824
1900,San Francisco,United States,14.64,14.2667307692307692
1901,San Francisco,United States,14.34,14.2681132075471698
1902,San Francisco,United States,14.07,14.2644444444444444
1903,San Francisco,United States,14.12,14.2618181818181818
1904,San Francisco,United States,14.50,14.2660714285714286
1905,San Francisco,United States,14.39,14.2682456140350877
1906,San Francisco,United States,14.81,14.2775862068965517
1907,San Francisco,United States,14.34,14.2786440677966102
1908,San Francisco,United States,14.01,14.2741666666666667
1909,San Francisco,United States,14.05,14.2704918032786885
1910,San Francisco,United States,14.17,14.2688709677419355
1911,San Francisco,United States,13.46,14.2560317460317460
1912,San Francisco,United States,13.95,14.2512500000000000
1913,San Francisco,United States,14.38,14.2532307692307692
1914,San Francisco,United States,14.33,14.2543939393939394
1915,San Francisco,United States,14.30,14.2550746268656716
